orderId,sourceId,sku,name,qtyBox,qtyPcs,destLoc,trip,plant,expDate,ean
lotte20260626-3056,,XGW0060-1,彩盒-樂天小熊餅超值美味組合,27,8365,,6/26-3,A37,2035/03/03,4712834455180
lotte20260626-3057,,XGW0181-1,彩盒-樂天小熊餅手提收納籃組,5,100,,6/26-3,A37,2036/02/09,
lotte20260626-4001,,BK0046,LOTTE 蛋黃派(10顆裝),42,336,,6/26-4,A37,2026/11/03,18801062126184
lotte20260626-4002,,BK0046,LOTTE 蛋黃派(10顆裝),42,336,,6/26-4,A37,2026/11/03,18801062126184
lotte20260626-4003,,BK0046,LOTTE 蛋黃派(10顆裝),42,336,,6/26-4,A37,2026/11/03,18801062126184
lotte20260626-4004,,BK0046,LOTTE 蛋黃派(10顆裝),42,336,,6/26-4,A37,2026/11/03,18801062126184
lotte20260626-4005,,BK0046,LOTTE 蛋黃派(10顆裝),42,336,,6/26-4,A37,2026/11/03,18801062126184
lotte20260626-4006,,BK0046,LOTTE 蛋黃派(10顆裝),42,336,,6/26-4,A37,2026/11/03,18801062126184
lotte20260626-4007,,BK0046,LOTTE 蛋黃派(10顆裝),42,336,,6/26-4,A37,2026/11/03,18801062126184
lotte20260626-4008,,BK0046,LOTTE 蛋黃派(10顆裝),42,336,,6/26-4,A37,2026/11/03,18801062126184
lotte20260626-4009,,BK0046,LOTTE 蛋黃派(10顆裝),42,336,,6/26-4,A37,2026/11/03,18801062126184
lotte20260626-4010,,BK0046,LOTTE 蛋黃派(10顆裝),42,336,,6/26-4,A37,2026/11/03,18801062126184
lotte20260626-4011,,WW1055,串掛-樂天小熊餅串串包,3,480,,6/26-4,A37,2031/02/17,
lotte20260626-4012,,WW1064,吊掛架-樂天小熊吊掛架(2023),3,52,,6/26-4,A37,2032/12/30,
lotte20260626-4013,,WW1065,吊掛架-PEPERO公版吊掛架(2023),1,15,,6/26-4,A37,2026/04/23,
lotte20260626-4014,,WW1065,吊掛架-PEPERO公版吊掛架(2023),1,15,,6/26-4,A37,2026/04/23,
lotte20260626-4015,,WW1065,吊掛架-PEPERO公版吊掛架(2023),9,149,,6/26-4,A37,2032/12/30,
lotte20260626-4016,,WW1068,落地架-樂天公版落地架(綠)2025,4,16,,6/26-4,A37,2036/05/06,
lotte20260626-4017,,WW1068,落地架-樂天公版落地架(綠)2025,5,22,,6/26-4,A37,2036/05/05,
lotte20260626-4018,,WW1074,LOTTE Ghana陳列紙架,14,14,,6/26-4,A37,2036/04/21,
lotte20260626-4019,,WW1076,墊箱-小熊週陳列墊箱(原色無印刷),14,140,,6/26-4,A37,2036/04/27,
lotte20260626-4020,,WW1076,墊箱-小熊週陳列墊箱(原色無印刷),15,150,,6/26-4,A37,2036/04/27,
lotte20260626-4021,,WW1076-1,墊箱隔板-小熊週陳列墊箱隔板(2片1組),29,290,,6/26-4,A37,2036/04/27,
lotte20260626-4022,,XGW0017-2,外箱-LOTTE XYLITOL口香糖綜合分享包,17,267,,6/26-4,A37,2036/06/16,4712834455173
lotte20260626-4023,,XGW0017-3,彩盒-LOTTE XYLITOL 綜合分享包,8,1727,,6/26-4,A37,2036/06/16,04712834455166
lotte20260626-4024,,XGW0058-4,外箱-LOTTE XYLITOL口香糖綜合分享包,12,189,,6/26-4,A37,2036/04/29,
lotte20260626-4025,,XGW0058-4,外箱-LOTTE XYLITOL口香糖綜合分享包,18,283,,6/26-4,A37,2036/04/29,
lotte20260626-4026,,XGW0157-1,彩盒-樂天小熊餅-草莓風味分享包,7,2246,,6/26-4,A37,2035/09/22,
lotte20260626-4027,,XGW0157-1,彩盒-樂天小熊餅-草莓風味分享包,24,7217,,6/26-4,A37,2035/09/22,
lotte20260626-4028,,XGW0157-1,彩盒-樂天小熊餅-草莓風味分享包,25,7581,,6/26-4,A37,2035/09/22,
