# Generated: 2026-06-19 13:10:22
# Total rows: 187
# Data source: ALLY_LOTTE_QR_PRINTER_v8.3.html embedded PALLET_DATA
# Issues found:
# - Row 177 (Board 177): SKU 'DK9075' missing from ITEM_MASTER - requires user verification
# Note: destLocation may be "TBD" pending binding table from user

sourceId,sku,品名,箱數,件數,國際條碼,上架儲位,來源儲位,效期,趟次,棧板號,入庫單號
LOTTE-20260622-622_2-055,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),5,40,08935341301238,BI012,A19A1212-0,2027/02/09,Regular-1,55,20260622-055
LOTTE-20260622-622_2-056,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),60,480,08935341301238,BI012,A19A1232-0,2027/02/09,Regular-1,56,20260622-056
LOTTE-20260622-622_2-058,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),60,480,08935341301238,BI012,A19A1252-0,2027/02/09,Regular-1,57,20260622-057
LOTTE-20260622-622_2-059,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),10,80,08935341301238,BI012,A19A1252-0,2027/02/09,Regular-1,58,20260622-058
LOTTE-20260622-622_2-060,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),60,480,08935341301238,BI012,A19A1272-0,2027/02/09,Regular-1,59,20260622-059
LOTTE-20260622-622_2-061,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),60,480,08935341301238,BI012,A19A1291-0,2027/03/20,Regular-1,60,20260622-060
LOTTE-20260622-622_2-064,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),60,480,08935341301238,BI012,A19A1352-0,2027/03/20,Regular-1,61,20260622-061
LOTTE-20260622-622_2-070,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),60,480,08935341301238,BI012,A19A1511-0,2027/03/20,Regular-1,62,20260622-062
LOTTE-20260622-622_2-074,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),60,480,08935341301238,BI012,A19A1571-0,2027/03/20,Regular-1,63,20260622-063
LOTTE-20260622-622_2-077,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),60,480,08935341301238,BI012,A19A1591-0,2027/03/20,Regular-1,64,20260622-064
LOTTE-20260622-622_2-085,BV0005,LOTTE巧克力布雪蛋糕－經典起司口味(6顆裝),60,960,08935341301337,BI012,B03A0332-0,2027/04/21,Regular-1,65,20260622-065
LOTTE-20260622-622_2-087,BV0005,LOTTE巧克力布雪蛋糕－經典起司口味(6顆裝),60,960,08935341301337,BI012,B03A0372-0,2027/04/21,Regular-1,66,20260622-066
LOTTE-20260622-622_2-090,BV0005,LOTTE巧克力布雪蛋糕－經典起司口味(6顆裝),60,960,08935341301337,BI012,B03A0413-0,2027/04/21,Regular-1,67,20260622-067
LOTTE-20260622-622_2-108,BV0005,LOTTE巧克力布雪蛋糕－經典起司口味(6顆裝),60,960,08935341301337,BI012,B03B0402-0,2027/04/21,Regular-1,68,20260622-068
LOTTE-20260622-622_2-118,BV0005,LOTTE巧克力布雪蛋糕－經典起司口味(6顆裝),30,480,08935341301337,BI012,C07A0034-0,2027/04/21,Regular-1,69,20260622-069
LOTTE-20260622-622_2-120,BV0005,LOTTE巧克力布雪蛋糕－經典起司口味(6顆裝),60,960,08935341301337,BI012,T06A0055-0,2027/04/21,Regular-1,70,20260622-070
LOTTE-20260622-622_2-121,BV0005,LOTTE巧克力布雪蛋糕－經典起司口味(6顆裝),60,960,08935341301337,BI012,T06A0075-0,2027/04/21,Regular-1,71,20260622-071
LOTTE-20260622-622_2-123,BV0008,LOTTE巧克力布雪蛋糕(12顆裝),60,480,08935341300637,BI012,T06B0383-0,2027/03/30,Regular-1,72,20260622-072
LOTTE-20260622-622_2-124,BV0008,LOTTE巧克力布雪蛋糕(12顆裝),60,480,08935341300637,BI012,T06B0444-0,2027/03/30,Regular-1,73,20260622-073
LOTTE-20260622-622_2-125,BV0008,LOTTE巧克力布雪蛋糕(12顆裝),60,480,08935341300637,BI012,T06B0445-0,2027/03/30,Regular-1,74,20260622-074
LOTTE-20260622-622_2-126,BV0008,LOTTE巧克力布雪蛋糕(12顆裝),60,480,08935341300637,BI012,T06B0464-0,2027/03/30,Regular-1,75,20260622-075
